Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF,shap_GP,shap_G,shap_A,shap_TP,shap_PPG,shap_PIM,shap_POS,shap_Awards,shap_Cups,shap_All-Star Games,BaseValue,FinalValue,HoF_Probability
Daniel Frawley,273,37,40,77,0.282,674,1,1983,1989,0,0,0,0,1.7360686,-0.85111535,-0.91218096,-0.87595624,-2.5440907,1.4076504,-0.6273039,-0.32531726,-1.124002,-1.3545173,-4.187,-11.393833839416505,1.1264604380099082e-05
Jeff Hamilton,157,32,45,77,0.49,44,1,2003,2009,0,0,0,0,2.1908996,-0.5162095,-1.1213766,-0.7975004,-2.0567925,-1.0569928,-0.6203059,-0.32531726,-1.1047469,-1.0407517,-4.187,-12.82699366760254,2.6872388136687066e-06
Mike Bloom,201,30,47,77,0.38299999999999995,215,1,1974,1977,0,0,0,0,2.1908996,-0.6252636,-1.1705326,-0.8677193,-1.6556908,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-12.61515399169922,3.321289944507791e-06
Stewart Evans,367,28,49,77,0.21,425,2,1930,1939,0,1,0,0,2.0788836,-0.2931666,-1.3494775,-1.0678134,-2.4943986,-0.71097577,1.3698165,-0.32531726,-0.5484933,-1.0546942,-4.187,-10.661519729614259,2.3428831966855996e-05
Hank Ciesla,269,26,51,77,0.28600000000000003,87,1,1955,1959,0,0,0,0,2.0667858,-0.698423,-1.1705326,-0.8677193,-2.6066692,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-13.639291488647462,1.1926978913270173e-06
Robert Thomas,140,19,58,77,0.55,34,1,2018,2021,0,1,0,0,2.1908996,-0.4573075,-1.0936216,-0.7975004,-1.8776413,-1.083466,-0.6203059,-0.32531726,-0.65054506,-1.0407517,-4.187,-12.133456909179689,5.376557353390248e-06
Ric Jackman,231,19,58,77,0.33299999999999996,166,2,1999,2007,0,1,0,0,2.1908996,-0.38833007,-1.3494775,-0.9805498,-1.5408808,-1.0760369,1.3515241,-0.32531726,-0.5076753,-1.0546942,-4.187,-10.058437549591066,4.2821066369520376e-05
Denis Gauthier,554,17,60,77,0.139,748,2,1997,2009,0,0,0,0,-0.36783358,-0.7043406,-1.1403196,-1.0974673,-2.5351443,1.0753361,1.3698165,-0.32531726,-1.0692579,-1.3684598,-4.187,-9.982154094696046,4.621526925927683e-05
Pavel Trnka,411,14,63,77,0.187,323,2,1997,2004,0,0,0,0,2.0788836,-0.5203916,-1.3772327,-1.0742073,-2.6343822,-0.2903231,1.3515241,-0.32531726,-1.0026953,-1.0546942,-4.187,-11.114719116210939,1.48912910733995e-05
Todd Simpson,580,14,63,77,0.133,1357,2,1995,2006,0,0,0,0,-0.6467006,-0.69146585,-1.0150234,-1.0145711,-2.730833,-0.72746,1.3524585,-0.32531726,-0.94946593,-1.3684598,-4.187,-11.657137596130372,8.656965913968289e-06
Rich Pilon,631,8,69,77,0.122,1745,2,1988,2002,0,0,0,0,-0.6467006,-0.6382725,-1.0150234,-0.97612935,-2.730833,-1.7082925,1.3524585,-0.32531726,-0.94946593,-1.3684598,-4.187,-12.546334945678712,3.5579055901851182e-06
