Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All_Star_Games,HoF,FinalValue,HoF_Probability
Eric Lindros,760,372,493,865,1.138,1398,1,1992,2007,2,0,6,1,0.41056803512573214,0.6012240751913516
Yvan Cournoyer,968,428,435,863,0.892,255,1,1963,1979,1,10,6,1,3.8173773651123044,0.9784875739801528
Alex Tanguay,1088,283,580,863,0.7929999999999999,527,1,1999,2016,0,1,1,0,-7.80410000038147,0.00040789206070676663
Dean Prentice,1378,391,469,860,0.624,484,1,1952,1974,0,0,4,0,-7.25036522102356,0.0007094114437117973
Tomas Sandstrom,983,394,463,857,0.872,1193,1,1984,1999,0,1,2,0,-6.378293239593506,0.001695140216138531
Bill Guerin,1263,429,427,856,0.6779999999999999,1660,1,1991,2010,0,2,4,0,-6.273374998092652,0.0018823033325207344
Vyacheslav Kozlov,1182,356,497,853,0.722,704,1,1991,2010,0,2,0,0,-5.042455279350281,0.0064164364236782906
Ted Lindsay,1068,379,472,851,0.797,1808,1,1944,1965,1,4,11,1,2.504630363464355,0.9244657888353197
Gary Suter,1145,203,641,844,0.737,1349,2,1985,2002,1,1,4,0,-1.3050562973022464,0.21331528030773406
Tom Lysiak,919,292,551,843,0.917,567,1,1973,1986,0,0,3,0,-3.7777502174377444,0.022362571723191223
John MacLean,1194,413,429,842,0.705,1328,1,1983,2002,0,1,2,0,-6.076031171798706,0.0022920106966910184
Ryan Smyth,1270,386,456,842,0.6629999999999999,976,1,1994,2014,0,0,1,0,-6.011651002883911,0.002444051792395233
Scott Mellanby,1431,364,476,840,0.5870000000000001,2479,1,1985,2007,0,0,1,0,-11.102439605712892,1.5075273376314421e-05
Steven Stamkos,806,424,414,838,1.04,499,1,2008,2021,2,1,6,0,-1.8627578849792483,0.1343819217344157
John Tonelli,1028,325,511,836,0.813,911,1,1978,1992,0,4,2,0,-0.7684092159271243,0.31682332522349793
Jacques Lemaire,853,366,469,835,0.9790000000000001,217,1,1967,1979,0,8,2,1,2.3583081130981443,0.9135923390473701
Saku Koivu,1124,255,577,832,0.74,809,1,1995,2014,0,0,1,0,-8.11167498779297,0.0002999259465159101
Brent Sutter,1111,363,466,829,0.746,1054,1,1980,1998,0,2,1,0,-6.715298377990723,0.0012107565484606366
John Ogrodnick,928,402,425,827,0.8909999999999999,260,1,1979,1993,0,0,5,0,-5.370385491371155,0.004630793514135872
Doug Wilson,1024,237,590,827,0.8079999999999999,830,2,1977,1993,1,0,7,1,5.901743209838867,0.9972727844926416
Red Kelly,1316,281,542,823,0.625,327,2,1947,1967,1,8,12,1,7.643672264099121,0.9995211634331573
Pierre Larouche,812,395,427,822,1.012,237,1,1974,1988,0,2,2,0,-6.062031113624573,0.002324249544907802
Bernard Geoffrion,883,393,429,822,0.9309999999999999,689,1,1950,1968,4,6,11,1,8.562259948730468,0.999808849812552
