Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF
Craig MacTavish,1093,213,267,480,0.439,891,1,1979,1997,0,4,1,0
Gerard Gallant,615,211,269,480,0.78,1674,1,1984,1995,0,0,0,0
Yvon Lambert,683,206,273,479,0.701,340,1,1972,1982,0,4,0,0
Ron Murphy,889,205,274,479,0.539,460,1,1952,1970,0,2,1,0
Jim Fox,578,186,293,479,0.8290000000000001,143,1,1980,1990,0,0,0,0
Dale McCourt,532,194,284,478,0.898,124,1,1977,1984,0,0,0,0
Paul Henderson,707,236,241,477,0.675,304,1,1962,1980,0,0,2,0
Dallas Drake,1009,177,300,477,0.473,885,1,1992,2008,0,1,0,0
Eric Vail,591,216,260,476,0.805,281,1,1973,1982,1,0,1,0
Darcy Tucker,947,215,261,476,0.503,1410,1,1995,2010,0,0,0,0
John McKenzie,691,206,268,474,0.6859999999999999,917,1,1958,1972,0,2,2,0
Doug Risebrough,740,185,286,471,0.636,1542,1,1974,1987,0,4,0,0
Alexei Zhitnik,1085,96,375,471,0.434,1268,2,1992,2008,0,0,2,0
Bruce MacGregor,890,213,257,470,0.528,217,1,1960,1974,0,0,0,0
Mike Keane,1161,168,302,470,0.405,881,1,1988,2004,0,3,0,0
Rob Niedermayer,1153,186,283,469,0.407,904,1,1993,2011,0,1,0,0
Steve Kasper,821,177,291,468,0.57,554,1,1980,1993,0,0,0,0
Jyrki Lumme,985,114,354,468,0.475,620,2,1988,2003,0,0,0,0
Steve Payne,613,228,238,466,0.76,435,1,1978,1988,0,0,2,0
Gary Leeman,667,199,267,466,0.6990000000000001,531,1,1982,1997,0,1,1,0
Eddie Shack,1047,239,226,465,0.444,1437,1,1958,1975,0,4,3,0
Nikolai Antropov,788,193,272,465,0.59,627,1,1999,2013,0,0,0,0
Michael Peca,864,176,289,465,0.5379999999999999,798,1,1993,2009,0,0,0,0
Mikael Renberg,661,190,274,464,0.7020000000000001,372,1,1993,2004,0,0,0,0
Doug Crossman,914,105,359,464,0.508,534,2,1980,1994,0,0,0,0
Jochen Hecht,833,186,277,463,0.556,458,1,1998,2013,0,0,0,0
Kelly Miller,1057,181,282,463,0.438,512,1,1984,1999,0,0,0,0
Al Iafrate,799,152,311,463,0.579,1301,2,1984,1998,0,0,4,0
Fredrik Modin,898,232,230,462,0.514,453,1,1996,2011,0,1,1,0
Cliff Koroll,814,208,254,462,0.568,376,1,1969,1980,0,0,0,0
Doug Smail,845,210,249,459,0.5429999999999999,602,1,1980,1993,0,0,1,0
Ron Stackhouse,889,87,372,459,0.516,824,2,1970,1982,0,0,1,0
Sami Kapanen,831,189,269,458,0.551,175,1,1995,2008,0,0,2,0
